1472538117.4379827: rece_time:1472538117.438369036
1472538118.4387976: rece_time:1472538118.439131975
1472538119.4357172: rece_time:1472538119.436187983
1472538120.4387991: rece_time:1472538120.439163923
1472538121.4334768: rece_time:1472538121.433824062
1472538122.4388395: rece_time:1472538122.439258099
1472538123.4333124: rece_time:1472538123.433834076
1472538124.4359670: rece_time:1472538124.436428070
1472538125.4317227: rece_time:1472538125.432173014
1472538126.4341594: rece_time:1472538126.434571981
1472538127.4364944: rece_time:1472538127.436923981
1472538128.4346864: rece_time:1472538128.435200930
1472538129.4276754: rece_time:1472538129.428016901
1472538130.4335534: rece_time:1472538130.433928013
1472538131.4357356: rece_time:1472538131.436105013
1472538132.4311335: rece_time:1472538132.431462049
1472538133.4363945: rece_time:1472538133.436739922
1472538134.4364000: rece_time:1472538134.436765909
1472538135.4363466: rece_time:1472538135.436779976
1472538136.4352371: rece_time:1472538136.435595036
1472538137.4363148: rece_time:1472538137.436712980
1472538138.4376239: rece_time:1472538138.437997103
1472538139.4363283: rece_time:1472538139.436804056
1472538140.4362616: rece_time:1472538140.436692953
1472538141.4324200: rece_time:1472538141.432811975
1472538142.4357532: rece_time:1472538142.436099052
1472538143.4363563: rece_time:1472538143.436686039
1472538144.4387986: rece_time:1472538144.439165115
1472538145.4345698: rece_time:1472538145.434907913
1472538146.4363473: rece_time:1472538146.436696053
1472538147.4363409: rece_time:1472538147.436747074
1472538148.4364308: rece_time:1472538148.436888933
1472538149.4363104: rece_time:1472538149.436631918
1472538150.4387991: rece_time:1472538150.439173937
1472538151.4387996: rece_time:1472538151.439224958
1472538152.4357704: rece_time:1472538152.436211109
1472538153.4356572: rece_time:1472538153.435976982
1472538154.4388098: rece_time:1472538154.439273119
1472538155.4329451: rece_time:1472538155.433284998
1472538156.4359086: rece_time:1472538156.436340094
1472538157.4388984: rece_time:1472538157.439331055
1472538158.4339950: rece_time:1472538158.434365988
1472538159.4361869: rece_time:1472538159.436708927
1472538160.4369747: rece_time:1472538160.437402010
1472538161.4388002: rece_time:1472538161.439219952
1472538162.4354123: rece_time:1472538162.435844898
1472538163.4388200: rece_time:1472538163.439178944
1472538164.4356079: rece_time:1472538164.436013937
1472538165.4380445: rece_time:1472538165.438404083
1472538166.4353322: rece_time:1472538166.435688019
1472538167.4363234: rece_time:1472538167.436739922
1472538168.4345545: rece_time:1472538168.435065031
1472538169.4340662: rece_time:1472538169.434495926
1472538170.4360471: rece_time:1472538170.436408043
1472538171.4363400: rece_time:1472538171.436634064
1472538172.4353936: rece_time:1472538172.435854912
1472538173.4362948: rece_time:1472538173.436806917
1472538174.4363648: rece_time:1472538174.436758041
1472538175.4363447: rece_time:1472538175.436688900
1472538176.4319138: rece_time:1472538176.432332039
1472538177.4389157: rece_time:1472538177.439318895
1472538178.4354576: rece_time:1472538178.435861111
1472538179.4297705: rece_time:1472538179.430169106
1472538180.4312053: rece_time:1472538180.431672096
1472538181.4322727: rece_time:1472538181.432667971
1472538182.4301945: rece_time:1472538182.430577040
1472538183.4337037: rece_time:1472538183.434114933
1472538184.4388108: rece_time:1472538184.439275026
